Tipo de dato;Zonas turísticas;Periodo;Total
Dato;Baleares (Illes): Isla De Mallorca;2021M12;106,21
Dato;Baleares (Illes): Isla De Mallorca;2021M11;93,28
Dato;Baleares (Illes): Isla De Mallorca;2021M10;95,08
Dato;Baleares (Illes): Isla De Mallorca;2021M09;110,7
Dato;Baleares (Illes): Isla De Mallorca;2021M08;130,82
Dato;Baleares (Illes): Isla De Mallorca;2021M07;126,34
Dato;Baleares (Illes): Isla De Mallorca;2021M06;107,6
Dato;Baleares (Illes): Isla De Mallorca;2021M05;114,11
Dato;Baleares (Illes): Isla De Mallorca;2021M04;101,55
Dato;Baleares (Illes): Isla De Mallorca;2021M03;95,73
Dato;Baleares (Illes): Isla De Mallorca;2021M02;69,76
Dato;Baleares (Illes): Isla De Mallorca;2021M01;78,41
Dato;Baleares (Illes): Palma - Calvía;2021M12;112,06
Dato;Baleares (Illes): Palma - Calvía;2021M11;99,91
Dato;Baleares (Illes): Palma - Calvía;2021M10;106,93
Dato;Baleares (Illes): Palma - Calvía;2021M09;121,38
Dato;Baleares (Illes): Palma - Calvía;2021M08;139,03
Dato;Baleares (Illes): Palma - Calvía;2021M07;130,02
Dato;Baleares (Illes): Palma - Calvía;2021M06;113,42
Dato;Baleares (Illes): Palma - Calvía;2021M05;123,36
Dato;Baleares (Illes): Palma - Calvía;2021M04;103,52
Dato;Baleares (Illes): Palma - Calvía;2021M03;97,54
Dato;Baleares (Illes): Palma - Calvía;2021M02;72,63
Dato;Baleares (Illes): Palma - Calvía;2021M01;83,44
Dato;Baleares (Illes): Isla De Menorca;2021M12;64,38
Dato;Baleares (Illes): Isla De Menorca;2021M11;65,98
Dato;Baleares (Illes): Isla De Menorca;2021M10;77,02
Dato;Baleares (Illes): Isla De Menorca;2021M09;113,57
Dato;Baleares (Illes): Isla De Menorca;2021M08;178,68
Dato;Baleares (Illes): Isla De Menorca;2021M07;152,91
Dato;Baleares (Illes): Isla De Menorca;2021M06;134,04
Dato;Baleares (Illes): Isla De Menorca;2021M05;73,94
Dato;Baleares (Illes): Isla De Menorca;2021M04;65,12
Dato;Baleares (Illes): Isla De Menorca;2021M03;56,45
Dato;Baleares (Illes): Isla De Menorca;2021M02;.
Dato;Baleares (Illes): Isla De Menorca;2021M01;60,47
Dato;Baleares (Illes): Islas De Ibiza-Formentera;2021M12;86,88
Dato;Baleares (Illes): Islas De Ibiza-Formentera;2021M11;86,16
Dato;Baleares (Illes): Islas De Ibiza-Formentera;2021M10;97,98
Dato;Baleares (Illes): Islas De Ibiza-Formentera;2021M09;153,27
Dato;Baleares (Illes): Islas De Ibiza-Formentera;2021M08;209,93
Dato;Baleares (Illes): Islas De Ibiza-Formentera;2021M07;179,32
Dato;Baleares (Illes): Islas De Ibiza-Formentera;2021M06;145,81
Dato;Baleares (Illes): Islas De Ibiza-Formentera;2021M05;113,05
Dato;Baleares (Illes): Islas De Ibiza-Formentera;2021M04;81,49
Dato;Baleares (Illes): Islas De Ibiza-Formentera;2021M03;62,89
Dato;Baleares (Illes): Islas De Ibiza-Formentera;2021M02;58,63
Dato;Baleares (Illes): Islas De Ibiza-Formentera;2021M01;59,51
